customer_id,customer_name,email,phone_number,country_code,channel,campaign_id,campaign_name,event_name,event_ts,bounce_classification,revenue,device,browser,city,state,campaign_start_date,campaign_end_date
CUST39672,Christopher Beard,monicaunderwood@gmail.com,364-045-9956x862,IN,whatsapp,CMP004,Welcome Journey,opened,2026-04-02 21:02:08,none,0.0,web,edge,Santosfurt,New Hampshire,25-03-2026,22-04-2026
CUST52519,Laurie Kline,xrussell@yahoo.com,347-611-3159x6074,SG,email,CMP001,Diwali Blast,opened,2026-03-31 18:26:08,soft,0.0,ios,safari,Joneshaven,Kansas,27-03-2026,14-04-2026
CUST76981,Michael Smith,philipcoleman@carpenter.com,001-827-387-1123x276,IN,whatsapp,CMP004,Welcome Journey,clicked,2026-04-24 07:06:08,none,1277.8,android,chrome,Baldwinview,Texas,19-04-2026,14-05-2026
CUST6133,Alexandra Porter,anthonybyrd@hotmail.com,001-334-774-5761,AE,whatsapp,CMP005,Cart Recovery,submission,2026-03-25 07:39:08,none,4756.71,ios,safari,Lake Elizabethberg,Pennsylvania,16-03-2026,14-04-2026
CUST40964,Deanna Foster,rhonda29@rogers.org,001-772-336-5483,AE,whatsapp,CMP001,Diwali Blast,submission,2026-03-21 02:49:08,soft,3359.62,ios,safari,Johnsonbury,Mississippi,18-03-2026,26-03-2026
CUST14085,Donna Glover,kelleyerin@yahoo.com,709.244.3153x856,AE,sms,CMP003,Premium Upgrade,delivered,2026-04-19 07:26:08,none,0.0,android,chrome,Lindaview,New Hampshire,14-04-2026,25-04-2026
CUST69967,James Torres,johnsonaustin@gmail.com,(889)948-8603,AE,sms,CMP001,Diwali Blast,clicked,2026-03-21 08:01:08,hard,1907.18,web,safari,Johnstad,Illinois,18-03-2026,27-03-2026
CUST75862,Tiffany Velez,tammy40@brown.net,+1-841-144-9907x769,US,push,CMP005,Cart Recovery,submission,2026-04-14 18:50:08,none,4055.23,web,edge,Douglasborough,New Mexico,13-04-2026,03-05-2026
CUST84570,Brian Rice,ygarrison@wilson.biz,(554)802-7669x6269,IN,whatsapp,CMP005,Cart Recovery,sent,2026-05-03 22:07:08,none,0.0,ios,edge,Saundersfort,California,02-05-2026,09-05-2026
CUST47437,John Craig,qjensen@barron-sanchez.com,(956)704-9732,US,whatsapp,CMP001,Diwali Blast,opened,2026-04-19 13:25:08,soft,0.0,android,chrome,Tonyland,West Virginia,13-04-2026,25-04-2026
CUST23147,James Gibson,morrisashley@hotmail.com,316-163-3078,IN,sms,CMP002,Summer Sale,delivered,2026-04-07 00:57:08,none,0.0,web,firefox,Pollardchester,North Dakota,04-04-2026,20-04-2026
CUST56988,Nina Cowan,xsmith@yahoo.com,682-076-6216x02010,AE,sms,CMP003,Premium Upgrade,delivered,2026-05-09 16:52:08,hard,0.0,web,chrome,East Toddport,Michigan,02-05-2026,23-05-2026
CUST6554,Charles Vasquez,robertmorris@allen.com,001-915-643-0636x29296,US,email,CMP004,Welcome Journey,clicked,2026-04-17 00:27:08,soft,800.2,android,chrome,Danielsville,Nebraska,07-04-2026,26-04-2026
